timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149947.871,29.297,33.691,37.109,28.320,38.086,0.000,0.000,0.000
149947.875,27.832,33.203,32.715,25.391,37.109,0.000,0.000,0.000
149947.879,31.738,31.250,26.855,25.391,37.109,0.000,0.000,0.000
149947.883,30.273,30.273,26.367,23.438,34.180,0.000,0.000,0.000
149947.887,26.855,32.227,33.203,23.438,31.250,0.000,0.000,0.000
149947.891,28.320,35.645,33.691,29.785,34.668,0.000,0.000,0.000
149947.895,27.344,35.645,32.227,26.367,26.855,0.000,0.000,0.000
149947.898,26.855,35.156,18.066,23.438,29.297,0.000,0.000,0.000
149947.902,24.902,31.738,7.324,27.832,36.621,0.000,0.000,0.000
149947.906,20.996,25.879,20.996,27.832,30.762,0.000,0.000,0.000
149947.910,23.926,29.297,22.949,23.926,32.715,0.000,0.000,0.000
149947.914,28.320,35.645,14.160,21.484,38.574,0.000,0.000,0.000
149947.916,26.855,35.156,21.484,23.438,34.668,0.000,0.000,0.000
149947.920,21.973,32.227,28.320,23.438,28.320,0.000,0.000,0.000
149947.924,20.996,31.738,26.855,20.020,25.879,0.000,0.000,0.000
149947.928,25.879,30.762,22.949,17.578,28.320,0.000,0.000,0.000
149947.932,26.855,29.785,17.578,17.090,27.832,0.000,0.000,0.000
149947.936,24.414,30.762,19.531,21.484,30.762,0.000,0.000,0.000
149947.940,24.414,32.227,24.414,21.973,36.133,0.000,0.000,0.000
149947.944,26.367,32.227,26.855,22.461,38.574,0.000,0.000,0.000
149947.947,29.297,34.180,25.391,25.391,36.621,0.000,0.000,0.000
149947.951,22.949,34.668,23.438,24.414,31.250,0.000,0.000,0.000
149947.955,15.137,32.715,19.043,19.531,21.484,0.000,0.000,0.000
149947.959,17.090,32.227,15.625,20.020,19.043,0.000,0.000,0.000
149947.961,20.996,23.438,20.996,21.973,31.738,0.000,0.000,0.000
149947.965,22.949,24.902,28.809,24.414,30.273,0.000,0.000,0.000
149947.969,24.414,35.156,28.809,30.273,27.344,0.000,0.000,0.000
149947.973,26.367,35.156,29.297,28.809,32.715,0.000,0.000,0.000
149947.977,23.926,31.738,30.762,25.879,34.668,0.000,0.000,0.000
149947.981,20.508,35.156,27.344,25.391,34.180,0.000,0.000,0.000
149947.985,15.137,35.156,20.020,20.996,21.973,0.000,0.000,0.000
149947.989,17.578,31.250,20.020,20.996,21.484,0.000,0.000,0.000
149947.993,25.391,31.738,25.391,21.973,25.879,0.000,0.000,0.000
149947.997,23.438,27.832,25.391,18.066,21.484,0.000,0.000,0.000
149948.000,21.484,27.344,25.879,21.973,20.508,0.000,0.000,0.000
149948.004,23.438,31.738,28.320,24.414,20.996,0.000,0.000,0.000
149948.006,22.949,26.367,30.762,17.578,20.508,0.000,0.000,0.000
149948.010,23.926,20.020,31.738,20.508,24.414,0.000,0.000,0.000
149948.014,24.902,23.926,29.297,28.809,30.273,0.000,0.000,0.000
149948.018,21.484,30.762,24.414,28.809,29.785,0.000,0.000,0.000
149948.022,20.508,32.715,20.996,24.414,29.297,0.000,0.000,0.000
149948.026,21.973,33.691,19.531,19.531,27.344,0.000,0.000,0.000
149948.030,19.531,34.668,22.949,19.531,22.949,0.000,0.000,0.000
149948.034,15.625,32.227,23.926,18.066,18.555,0.000,0.000,0.000
149948.037,18.066,30.273,26.367,13.184,16.113,0.000,0.000,0.000
149948.041,19.531,27.344,27.832,12.695,16.113,0.000,0.000,0.000
149948.045,17.578,26.367,20.996,13.184,9.766,0.000,0.000,0.000
149948.049,15.625,27.832,15.625,15.625,7.812,0.000,0.000,0.000
149948.051,15.137,23.438,22.949,18.555,5.859,0.000,0.000,0.000
149948.055,16.113,20.020,27.832,19.043,11.230,0.000,0.000,0.000
149948.059,14.648,22.461,21.973,21.484,16.113,0.000,0.000,0.000
149948.063,9.766,24.414,17.578,25.391,13.184,0.000,0.000,0.000
149948.067,11.230,25.879,28.809,27.832,18.555,0.000,0.000,0.000
149948.071,16.602,25.879,38.086,28.809,15.625,0.000,0.000,0.000
149948.075,18.555,22.461,34.668,29.785,17.090,0.000,0.000,0.000
149948.079,21.973,26.367,34.180,26.367,23.438,0.000,0.000,0.000
149948.083,22.949,28.809,37.109,24.902,26.855,0.000,0.000,0.000
149948.086,27.344,23.926,32.715,23.926,37.109,0.000,0.000,0.000
149948.090,33.691,26.855,23.926,21.973,37.598,0.000,0.000,0.000
149948.094,32.227,29.785,19.531,20.020,26.367,0.000,0.000,0.000
149948.096,34.180,32.227,19.043,21.973,22.461,0.000,0.000,0.000
149948.100,37.598,34.668,17.090,25.879,20.508,0.000,0.000,0.000
149948.104,35.645,33.691,18.066,23.438,19.531,0.000,0.000,0.000
149948.108,35.156,34.668,25.879,20.996,23.438,0.000,0.000,0.000
149948.112,24.902,33.691,32.227,20.020,16.602,0.000,0.000,0.000
149948.116,15.625,28.320,24.902,20.508,17.090,0.000,0.000,0.000
149948.120,14.648,26.855,21.973,20.508,25.879,0.000,0.000,0.000
149948.124,9.277,28.809,27.832,22.461,25.391,0.000,0.000,0.000
149948.127,3.906,25.879,25.879,27.344,25.879,0.000,0.000,0.000
149948.131,-1.953,24.414,30.273,26.855,26.855,0.000,0.000,0.000
149948.135,-3.418,25.391,34.668,20.020,20.020,0.000,0.000,0.000
149948.139,11.230,26.367,34.668,24.414,21.973,0.000,0.000,0.000
149948.143,20.996,29.785,32.715,33.691,28.809,0.000,0.000,0.000
